column_i,column_j,solution_value
"('A0', 'A1', 'A2')","('A0', 'A1', 'A2')",0.0
"('A0', 'A1', 'A2')","('A0', 'A2', 'A1')",0.5173091614238627
"('A0', 'A1', 'A2')","('A1', 'A0', 'A2')",0.0
"('A0', 'A1', 'A2')","('A1', 'A2', 'A0')",0.5173091614238627
"('A0', 'A1', 'A2')","('A2', 'A0', 'A1')",0.5173091614238627
"('A0', 'A1', 'A2')","('A2', 'A1', 'A0')",0.5173091614238627
"('A0', 'A1', 'A2')",A0,0.0
"('A0', 'A1', 'A2')",A1,0.0
"('A0', 'A1', 'A2')",A2,1.0346183228477255
"('A0', 'A2', 'A1')","('A0', 'A1', 'A2')",0.5173091614238627
"('A0', 'A2', 'A1')","('A0', 'A2', 'A1')",0.0
"('A0', 'A2', 'A1')","('A1', 'A0', 'A2')",0.5173091614238627
"('A0', 'A2', 'A1')","('A1', 'A2', 'A0')",0.0
"('A0', 'A2', 'A1')","('A2', 'A0', 'A1')",0.0
"('A0', 'A2', 'A1')","('A2', 'A1', 'A0')",0.0
"('A0', 'A2', 'A1')",A0,0.5173091614238627
"('A0', 'A2', 'A1')",A1,0.5173091614238627
"('A0', 'A2', 'A1')",A2,0.5173091614238627
"('A1', 'A0', 'A2')","('A0', 'A1', 'A2')",0.0
"('A1', 'A0', 'A2')","('A0', 'A2', 'A1')",0.5173091614238627
"('A1', 'A0', 'A2')","('A1', 'A0', 'A2')",0.0
"('A1', 'A0', 'A2')","('A1', 'A2', 'A0')",0.5173091614238627
"('A1', 'A0', 'A2')","('A2', 'A0', 'A1')",0.5173091614238627
"('A1', 'A0', 'A2')","('A2', 'A1', 'A0')",0.5173091614238627
"('A1', 'A0', 'A2')",A0,0.0
"('A1', 'A0', 'A2')",A1,0.0
"('A1', 'A0', 'A2')",A2,1.0346183228477255
"('A1', 'A2', 'A0')","('A0', 'A1', 'A2')",0.5173091614238627
"('A1', 'A2', 'A0')","('A0', 'A2', 'A1')",0.0
"('A1', 'A2', 'A0')","('A1', 'A0', 'A2')",0.5173091614238627
"('A1', 'A2', 'A0')","('A1', 'A2', 'A0')",0.0
"('A1', 'A2', 'A0')","('A2', 'A0', 'A1')",0.0
"('A1', 'A2', 'A0')","('A2', 'A1', 'A0')",0.0
"('A1', 'A2', 'A0')",A0,0.5173091614238627
"('A1', 'A2', 'A0')",A1,0.5173091614238627
"('A1', 'A2', 'A0')",A2,0.5173091614238627
"('A2', 'A0', 'A1')","('A0', 'A1', 'A2')",0.5173091614238627
"('A2', 'A0', 'A1')","('A0', 'A2', 'A1')",0.0
"('A2', 'A0', 'A1')","('A1', 'A0', 'A2')",0.5173091614238627
"('A2', 'A0', 'A1')","('A1', 'A2', 'A0')",0.0
"('A2', 'A0', 'A1')","('A2', 'A0', 'A1')",0.0
"('A2', 'A0', 'A1')","('A2', 'A1', 'A0')",0.0
"('A2', 'A0', 'A1')",A0,0.5173091614238627
"('A2', 'A0', 'A1')",A1,0.5173091614238627
"('A2', 'A0', 'A1')",A2,0.5173091614238627
"('A2', 'A1', 'A0')","('A0', 'A1', 'A2')",0.5173091614238627
"('A2', 'A1', 'A0')","('A0', 'A2', 'A1')",0.0
"('A2', 'A1', 'A0')","('A1', 'A0', 'A2')",0.5173091614238627
"('A2', 'A1', 'A0')","('A1', 'A2', 'A0')",0.0
"('A2', 'A1', 'A0')","('A2', 'A0', 'A1')",0.0
"('A2', 'A1', 'A0')","('A2', 'A1', 'A0')",0.0
"('A2', 'A1', 'A0')",A0,0.5173091614238627
"('A2', 'A1', 'A0')",A1,0.5173091614238627
"('A2', 'A1', 'A0')",A2,0.5173091614238627
A0,"('A0', 'A1', 'A2')",0.0
A0,"('A0', 'A2', 'A1')",0.5173091614238627
A0,"('A1', 'A0', 'A2')",0.0
A0,"('A1', 'A2', 'A0')",0.5173091614238627
A0,"('A2', 'A0', 'A1')",0.5173091614238627
A0,"('A2', 'A1', 'A0')",0.5173091614238627
A0,A0,0.0
A0,A1,0.0
A0,A2,1.0346183228477255
A1,"('A0', 'A1', 'A2')",0.0
A1,"('A0', 'A2', 'A1')",0.5173091614238627
A1,"('A1', 'A0', 'A2')",0.0
A1,"('A1', 'A2', 'A0')",0.5173091614238627
A1,"('A2', 'A0', 'A1')",0.5173091614238627
A1,"('A2', 'A1', 'A0')",0.5173091614238627
A1,A0,0.0
A1,A1,0.0
A1,A2,1.0346183228477255
A2,"('A0', 'A1', 'A2')",1.0346183228477255
A2,"('A0', 'A2', 'A1')",0.5173091614238627
A2,"('A1', 'A0', 'A2')",1.0346183228477255
A2,"('A1', 'A2', 'A0')",0.5173091614238627
A2,"('A2', 'A0', 'A1')",0.5173091614238627
A2,"('A2', 'A1', 'A0')",0.5173091614238627
A2,A0,1.0346183228477255
A2,A1,1.0346183228477255
A2,A2,0.0
